name,level,sex,ctime,rcount,like,content
maglorthesinger,5,女,1547896302,28,12962,传统媒体拥抱年轻人的成功案例(°∀°)ﾉ
紗棠糖糖糖,6,女,1547895879,16,4951,电视在放哈哈哈哈哈哈天嘞
橙橙橙橙橙子,6,女,1547896304,8,3143,配音小哥笑场了！扣钱！[蛆音娘_滑稽]
共青团中央,6,保密,1547903326,43,2155,我的快乐源泉[2233娘_喝水]
吃素的狮子,6,男,1547970553,44,1668,好想上一次1818黄金眼！
红蝇会会长,6,保密,1547901932,8,925,全国都在关注浙江人民日常生活2333
弹指一夕,6,男,1547896296,40,8239,未来b站的最强综艺即将诞生，我们都是见证者，哈哈[2233娘_大笑]
不明真相的意大利炮,6,男,1547955498,8,1564,我觉得B站的用户不是不喜欢看新闻，而是懒得去别的地方看。。。
重剑拌饭,6,保密,1547901686,12,573,我一个广东人，广东的新闻没看，光顾着关心你们浙江人的生活了，太膨胀了我。
说你个球,6,女,1547898073,7,588,不喜欢看浙江卫视的综艺节目，什么跑男，什么演员的诞生，矫揉造作，都太假。就爱看你们的6频道，1818黄金眼，钱塘老娘舅，相亲才会赢，这三档节目才好看。
枠怪,5,保密,1547911257,2,381,要不是这是个老牌综艺节目，我百分百会认为这是个营销号 求置顶
智障先疯,4,男,1547964417,1,262,"看着好笑，其实出了事不好笑的，记者小伙伴们辛苦了…鞠躬！
黄金眼之所以会红，是因为他（她）们有恒心，有毅力，有一颗寻求真相和维护正义的…emm怎么说着说着赶脚像是再说超级英雄？
不错！1818就是广大小伙伴们的英雄！
1818加油！

这种“管闲事”的栏目各个电视台不少，来自各个方面的鸭梨和威胁之类的也肯定很多！毕竟容易得罪人嘛…
唉～有不少这样的节目，“昙花一现”或者播着播着就“变味儿”，1818能始终如一，这应该就是大家爱1818的重要因素之一吧…"
宁初见丶,5,男,1547913725,5,208,我最喜欢的还是那句：有在床上一起休息过吗。
污洋爱咕蛹,6,男,1547988761,1,159,出现了，大型鬼畜素材稳定供应商，没有中间商（搬运工）赚差价[小电视_赞]
我永远爱战法,6,男,1547897773,6,111,话说我今年看1818时间最长，我自己都惊呆了[2233娘_吃惊]
撸色loser,6,男,1548579760,9,104,寒假在家无聊？可以兼职做复读机，跟我一样只需要手机就能做，复制粘贴即可，每天收入0元，我身边的朋友都在做。
藤原的漂移人生,4,保密,1547898542,0,53,对于某人打码的请求，我们拒绝了(°∀°)ﾉ
C选项_沉默,6,男,1547910464,3,102,"都放到网络上来播了，就不要用电视上的画质了吧……帧数和电视上一样可以理解，但是……
1）视频格式：网络时代就别管电视上的标准了，1080P，码率平均6Mbps，最大24Mbps，走起！要啥4:3？（720x576？？？1.9Mbps？？？）
2）电脑屏幕就不要拿着摄像机拍了，直接录屏吧；
3）评论截图注意一下网页的背景和视频的背景，背景颜色不一样看的很不舒服，可以把评论也做成MG动画；
4）截图直接这样放大会有马赛克的现象，如果需要放大还请截图之前按住键盘Ctrl+鼠标滚轮把网页放大后截图，然后编辑视频的时候就不要对图片做缩放处理；
4）另外，电视上的版本可能是隔行扫描的，网络版本还请转为逐行扫描。
以上是给节目组的小建议，希望黄金眼越来越好[小电视_赞]"
Zaki_730,6,男,1547898978,4,84,这个节目一开得开到B站倒闭吧？每天都有逗比的新闻根本不缺节目内容  年末估计还有年度总结版
Angelan,6,女,1548724219,1,7,之前1818黄金眼停播了还挺伤心的 没想到今天在B站上看到了这个栏目 嗨森！
